Generation,MinEnergy,AvgEnergy,StdDevEnergy
0,3.46776536546863,3.9572860726308954,0.3082319582147559
1,2.8686872975695596,3.7994346283354448,0.4633785109279427
2,3.1027582049683247,4.015985882922896,0.44939160395014577
3,2.7229119891958047,3.848908583367098,0.5112313262463801
4,3.0161927630758676,3.9042978662587657,0.4736256768660016
5,3.327878880693309,3.947005143835523,0.34995988075946066
6,3.076019675985546,3.6914020107461893,0.3845847785645842
7,2.8925541886099855,3.773703464804277,0.4427864564977289
8,3.227384620260476,3.959742508760416,0.37372344081462194
9,2.919144287395575,3.848472560103422,0.42651864359715164
10,3.101187785891998,3.925173643413381,0.3369565468865627
11,3.0250483856039296,3.953381807003708,0.4731693480734485
12,3.1145291012211573,3.9788802209504723,0.44112157181170863
13,3.317006055844566,4.031513902106034,0.45012026036401354
14,2.933644907080646,3.8988085285816685,0.4054765630587462
15,2.476590496853817,3.705997755403894,0.5146066113546336
16,2.852155350875023,3.8649013041169358,0.4377452125943103
17,3.1951254114658427,3.948681343603927,0.5510693105644292
18,2.808533240585969,3.662757547384142,0.4451171889624432
19,2.9932893707122283,3.993471165576422,0.4068512700159838
20,3.1535393149373667,3.852929361608025,0.44733337879268126
21,3.4029991199188263,4.03267577706169,0.373761480157838
22,2.578967762867904,3.706048753725788,0.513412254474398
23,2.8249597940654603,3.7637708525734137,0.4784883925214243
24,2.6199383301187256,3.8289032572034194,0.3998605095505586
25,2.897248264746265,3.999001819886086,0.4993828701862892
26,2.9150622458042785,3.7902127868234583,0.3903965931275032
27,2.470287094256014,3.8625261578516477,0.47507537124311616
28,2.9738495737004635,3.837492880874492,0.3953015937835905
29,2.853092563772628,3.8253412492000183,0.3915470053790494
30,3.0297368126795865,3.959333963843977,0.4947305940554819
31,2.4674113837984915,3.764219999789511,0.4649822381934757
32,3.1794020433078516,3.950293004825023,0.46582985476464955
33,2.7264440547261444,3.748763632631862,0.46595954564260794
34,2.887408092234785,3.8731589662905264,0.49218827835431567
35,3.049685364040368,3.929298140165868,0.42824880685888495
36,3.0274553127994888,3.832491364475234,0.41620379661754375
37,3.1491698126748893,3.8882707837185366,0.3572933990482965
38,2.9570080427331247,4.00015441709288,0.3733009970583118
39,3.181448357079529,3.888696128657227,0.3984673874555898
40,3.033624612807059,3.8958412464679872,0.39795587533481513
41,3.207459139351468,3.978813358734435,0.4957358545426826
42,2.8699739527519563,3.7335524528145596,0.49691931677078827
43,3.05406919143464,3.8360523009079883,0.4671212469986444
44,3.1378734887389506,3.927258484575809,0.4143200520380112
45,2.86596456525413,3.878889877846545,0.4855976786241145
46,3.12652761870915,3.866331292223954,0.43023970723484883
47,2.764966274938227,3.9173545310504445,0.46455073255747814
48,2.9323810317231596,3.759145459798565,0.4493828546509286
49,3.3860957103913654,3.978986727203789,0.36883615274374537
50,3.0772197525844125,3.8548736452791985,0.4845295851108557
51,2.792739762526945,4.008380766826998,0.45844159608189067
52,2.6917740276504816,3.6599734848301484,0.39893491766994954
53,2.6040190538875447,3.8384889014347165,0.48494665244723156
54,2.687640706821104,3.8007482220463444,0.5942721914710423
55,2.8093964779857465,3.9606047369642283,0.4763932690870546
56,3.0818949458387186,3.945600612898448,0.5185514980708953
57,3.0360084268426286,4.089474087156803,0.4388363935134129
58,2.7919760181656996,3.8396884792661057,0.45619640079231655
59,3.1740285636443772,3.853632405980136,0.363486260838838
60,2.3721595797224926,3.636079766147284,0.45412866069122254
61,2.7818138041415845,3.8913959507399083,0.5817261700325886
62,2.9791927372480194,3.7959780260230844,0.36402016351312366
63,2.9756516021742776,3.8279894920168327,0.3567451269335046
64,2.9353828937643076,3.8682239134231677,0.45743995380458635
65,2.8445030664609026,3.7548427352690537,0.33970821266417134
66,3.254577364914009,3.9988341124307003,0.4180208166392762
67,2.707056292336043,3.828930541442576,0.44487982960283873
68,3.26398013267977,3.8423870954096713,0.35298933311060726
69,3.0104065894930643,3.780523545697165,0.35853486096031856
70,3.0450645318965153,4.013333476184546,0.44733758059726714
71,2.8039035837303885,3.8238750558390255,0.439043348542429
72,3.2226554486323384,3.851640431026654,0.4727956232723427
73,2.711527850442969,3.75851394849193,0.432836151600379
74,2.7058254682782836,3.7698174541209033,0.4832253373321377
75,2.9425775524162745,3.796402289467188,0.4445580588585948
76,2.682331196754066,3.9093211129054746,0.41928296272239934
77,2.6880450324431004,3.84219277620429,0.5046579845989233
78,2.8429209153845147,3.8648272614948933,0.46646961735465375
79,2.6432262370898023,3.8183805297586426,0.4942067564654393
80,2.959980669964485,3.8134453008217073,0.47903677221646385
81,3.255041780706457,3.8635065190852282,0.35705962030420935
82,2.9331733066084116,4.095092681496953,0.5594642171462763
83,2.907627695661071,3.7956300197173873,0.4803064638915409
84,2.8492910407016647,3.8545854504948447,0.46861775939757727
85,3.1155340176763646,3.944997063900284,0.42779338735138117
86,2.729390017345557,3.7161329531696663,0.3845685963361699
87,2.9034937682167046,3.859963246434995,0.4693901099603881
88,2.908530646776908,3.9215832165035,0.3888582778705834
89,3.1902717848282562,3.8113899919937113,0.39085424054655554
90,2.8655959052109257,3.902511616861354,0.40422031159627003
91,3.2955696158897827,3.9332369980194017,0.37644633032153013
92,2.7923885595714992,3.7081730854226693,0.5011440083333814
93,3.1006756036790395,3.8788895548069684,0.47187050033220274
94,3.0349917696688484,3.8607601072945243,0.4157763103229831
95,2.9623594225071743,3.8776029456401457,0.4004537352611694
96,3.116093279609425,3.9488700016121805,0.4157612034840629
97,2.963076735193452,4.00902902779303,0.3948949000427561
98,2.5034558676309895,3.9217228597214695,0.495086771207467
99,2.954583054765842,3.7761982070638074,0.423983861196894
100,2.9379228073191817,3.9509025400906985,0.39159630801034107
101,2.9398633884153273,3.794339011019272,0.4495338998440819
102,2.6019533961010888,3.896807802136382,0.6097459336503263
103,3.176389288246809,3.9151446593228196,0.3898339111708276
104,2.9347537220652082,3.863066938185824,0.47207769303566466
105,2.9931545689878467,3.833956706187623,0.41305842803340304
106,3.061382291230237,3.9388683948508287,0.5078365860914381
107,3.0969743414920385,3.7876674857340746,0.40561702375739056
108,3.115467620328189,3.9389213174711686,0.4388459456223557
109,2.594500504842784,3.8224716778627075,0.4779713068615052
110,3.278625691243786,3.907761462411994,0.32731328460519377
111,3.098169194307097,3.858678658339917,0.4123049202836664
112,2.7116140655770473,3.9026502498562525,0.4894876259679935
113,3.2858637170185694,3.8649112892863675,0.35243732377385384
114,2.774184832303584,3.698332830831525,0.4883758083777431
115,2.5626978034975565,3.8360557124852983,0.4626801051275436
116,3.346820723577548,4.223911201709093,0.47401274654109576
117,3.151002202764132,4.0169518989787045,0.4841420816839006
118,3.205308337468528,3.8943725155431435,0.35741609322669105
119,2.78554571377587,3.733230788945551,0.4010937521658955
120,2.7495722404000005,3.8485451250025293,0.5018216690935858
121,2.9668021036558283,3.8123580719062415,0.4084885379208652
122,2.650454675937371,3.8822887547320346,0.4504393015672312
123,2.8917767587215515,4.064113434079419,0.3908578288437653
124,3.2671451195344723,3.9877255324038767,0.3699883122925496
125,2.6526388046045546,3.8473507179485,0.4591405158532791
126,2.9354791772743964,4.021193643273161,0.39514925509791415
127,3.166933126383726,3.7293133281772377,0.4915053707592939
128,2.4915010841447276,3.853061177355585,0.4775857335777409
129,2.559394280245658,3.829961994191417,0.41445109895455545
130,2.9585501265687872,3.9071104257077516,0.39712415878899354
131,2.9638486962688826,3.8702172033719937,0.4603865840462493
132,2.93880426843405,3.960350601835326,0.4859628187538615
133,3.092690627937607,3.897671892606197,0.46782007035752027
134,2.443617005564541,3.9144996703128663,0.533829832545501
135,3.491781583527129,4.047387015241325,0.36819085496612547
136,3.231696861598943,3.854850169368906,0.3475198715513715
137,3.096601498187759,3.9554219027066533,0.42923114326129524
138,3.386839334190083,3.858180354552212,0.36078090404168633
139,2.8306608819863404,3.7658026783304774,0.5505472896755967
140,2.7251758694147075,3.9431623037329344,0.43076152283026137
141,2.893828280226053,3.76749935555108,0.4274232289432858
142,3.139492784352977,3.875633125949962,0.36406147530731475
143,3.0638277444414372,3.8312061373027606,0.5056664506078437
144,2.842545218049114,3.76905086807252,0.38125987621159374
145,3.1851719521011663,3.8337947982881153,0.4247045994075509
146,3.2318919516691875,3.9657662574349217,0.43743981895606643
147,2.717164313632448,3.7999969860142593,0.5182721929466608
148,2.5496776340324705,3.989287124755595,0.545342659884642
149,2.884753471174659,3.8598673897228677,0.544391132943378
150,3.0601640414564035,3.897963393714704,0.39439904656366853
151,2.62877724658198,3.7483885302394304,0.48922814726888453
152,3.2583027344910978,3.9856990394543375,0.451395801018419
153,3.0998951167267954,3.8960518279822036,0.4549905598156445
154,2.7379490628783167,3.9138784404759908,0.4124518415412324
155,2.842133004857803,3.9024263133702766,0.42142352371903735
156,2.952209374966108,3.859249161991273,0.5410135973006203
157,2.3947664416776626,3.9103463009088886,0.5759259996351673
158,2.879670639249304,3.879619309989721,0.4203736592542803
159,2.685675714389455,3.999090092004761,0.5073913353565263
160,2.9802049910290087,3.812903409476408,0.46387226050976915
161,2.8603234071402297,4.008004874755003,0.4359964177621892
162,2.8001987224620177,3.925697605246326,0.5468012942028828
163,2.92451049136072,3.8447128373611625,0.4394756661661837
164,3.3175152443555795,4.054317367430079,0.4777770594278873
165,3.1001939499028857,3.811609544471701,0.5258837764970259
166,2.9917738573687926,3.8636152280785168,0.4397796359871327
167,2.8963952547838394,3.861272537484971,0.4371693606356129
168,2.9036942062303104,3.8164912826583146,0.4826946662212768
169,2.855694881773761,3.942252374945508,0.40740172314940404
170,3.0433251580083267,3.908980270784092,0.46418950144557536
171,3.1963268320889844,3.892663497486584,0.40640054895782196
172,3.0342179881316103,3.9326139424475475,0.4447680346774123
173,2.946053412953563,3.8403085738968827,0.4102514962359891
174,3.0646454672008443,3.9386254287131948,0.385444487300347
175,2.7182919433600583,3.883588775866032,0.45914819513310395
176,3.1505726361504056,3.9526045080019894,0.4513573460337273
177,2.929708658135816,3.715004326529604,0.3651245769475109
178,3.144208772343133,3.86723538276938,0.42013988005257197
179,3.193116372124742,3.8548540261272186,0.34332221872898383
180,2.8650151538993187,3.919849870752284,0.4245814965944721
181,2.9504394283489916,3.902965435919104,0.44097718346933085
182,2.4620560159520344,3.808560501320483,0.44453806172899624
183,3.1362680720304126,3.8300983737719707,0.3805798530482002
184,3.008629682838077,3.970560952624017,0.44599635278989974
185,2.6337282871639713,3.857750672697132,0.4744911223837813
186,2.989307455391096,3.9190184913463417,0.43457780685826547
187,3.0076443770216295,3.91221243742643,0.44419231809567106
188,3.3122913109415655,3.9610345743988713,0.3302255581358665
189,2.7236159155465907,3.765252457913864,0.44611891686206173
190,2.9420233686808457,3.747010380789536,0.3603178512018206
191,2.858010096493444,3.809218483796388,0.49384955843377937
192,2.719794563345217,3.8272094336795903,0.4320430627514754
193,2.915445590860786,3.8974887942064735,0.451111697818308
194,2.819049077901589,3.783518181862573,0.47777861280931855
195,3.0532718676354245,3.728496301033165,0.3709659551183542
196,2.810150369020523,3.8240331893558857,0.47362467644022577
197,2.9109175513339003,3.804277093935945,0.4420236206775789
198,2.4604217008376357,3.9587326187853864,0.47042929921918575
199,3.1754413413891607,3.8442369518464696,0.35089886251078256
200,2.7727647617237623,3.9456131458847103,0.5581535476683368
201,2.664386783299139,3.8594100534274833,0.5257592276077984
202,3.0785648348358854,3.8377902576556053,0.39392667031481765
203,2.853216222990995,3.925694038389643,0.4297155566103836
204,2.9698103939493077,4.021355102344048,0.41925819013239324
205,2.9640912850767496,3.715822433017092,0.37541522722638687
206,2.9041451053610303,3.8506028975334385,0.3913166529718217
207,3.0501549749569956,3.8306581833869844,0.3967872570896074
208,2.647206794013602,3.773445493754225,0.41884379558370033
209,3.278452496006416,4.050172791140079,0.41083125876239157
210,3.2468907382478793,3.8965699830908345,0.3123022821911003
211,2.6649834636416463,3.903028700947673,0.4695551807730481
212,2.978702720564544,3.8217292270039196,0.493621889871711
213,2.736112466674057,3.733460306443755,0.44742279471703134
214,2.8593096103114246,3.849212997577829,0.39047145915218695
215,2.8095723700549877,3.691580473125876,0.4086355929715615
216,3.1011932997431986,3.8377964843714953,0.3664990786000112
217,2.947386527871426,3.9855649149054644,0.39818017867635325
218,3.0357401138816638,3.92747921008747,0.42295344755692815
219,2.785192707610329,3.7831376188052888,0.4657585716415543
220,2.903604186217732,3.734196995031614,0.4208553074870783
221,3.107909487525784,3.9344500857873657,0.3489199600188865
222,2.5407565049396004,3.769725563519851,0.4721730675522626
223,3.113529027484818,3.8934931036881952,0.36776101667518024
224,2.686931380180093,3.6271319379496507,0.5019612654257164
225,3.17247352797203,3.9997619080334297,0.3617275091887138
226,3.026916781419866,3.829730208176763,0.45719447322278967
227,3.2447063096327495,3.9376557858983268,0.37163726666770885
228,3.395728462729983,3.9406973850920557,0.34680197815647806
229,2.983656384574134,3.9082689153989607,0.4840816617521928
230,2.4764313170645695,3.7526252400446807,0.4695842910174456
231,3.3593327070332806,4.002432337606876,0.4228935441905537
232,2.895778081753808,3.8116857721558404,0.35424791914791154
233,3.05473189088778,3.8294457377350746,0.4892470842461993
234,3.0710386960720992,3.9332733126458868,0.3787666940633146
235,3.0757630182919393,3.8601215526293307,0.40591760674011346
236,2.7849382665103914,3.8637420220249576,0.47401748062900934
237,3.274115034621938,3.9338691852862726,0.34345838816864616
238,3.273950857175784,4.13341194611455,0.39693414023652784
239,3.1141719161612333,3.927955072930408,0.3951942533631075
240,2.9951037240267526,3.9249459057088973,0.5268516192447653
241,2.7537941837666025,3.764630267011916,0.5021491665364828
242,2.828387067291295,3.8388621588299494,0.4349341619255849
243,2.98237324310406,3.687072086143737,0.3884341708567636
244,3.0991997324454807,3.8643255013059767,0.3935701269957269
245,2.8293673511254553,3.8297815392923,0.4369795584783222
246,3.0837303972165526,3.839647396801749,0.3904406907056729
247,3.176105127528394,4.015288556117337,0.44614459508168003
248,2.850342474793718,3.9871085846439187,0.4746625349611698
249,3.200448438470747,3.8831068017903343,0.40877557834709005
250,2.8687555254423542,3.854969991652239,0.3977483228311527
251,2.912338986823674,3.8150631838864957,0.3825798753169526
252,2.8911990040943696,3.942406179232053,0.465743877667589
253,3.036906666988821,3.7881943658918167,0.4483595682193483
254,3.28563903686161,3.8933789193576454,0.32185920135784263
255,2.6517449195308296,3.8061093290685903,0.39048110008780185
256,3.241092571013148,3.9937166655749645,0.42390520084481986
257,3.2061909036264726,3.9561516735387996,0.4286791195989318
258,3.01523875219898,3.961346731894995,0.4071763617414535
259,3.025981560406081,3.9136644415995967,0.45354264732748784
260,3.1105803310451505,3.9826114887293054,0.4647404821480004
261,2.7889097503808475,3.755416991598665,0.4245734947938411
262,3.038311511272518,3.9192414755705967,0.5248099443872053
263,3.222259966488356,3.900840529351926,0.3922911610050837
264,2.905382313856634,3.940337950922196,0.43869937379933
265,2.8644698322034103,3.987993222666387,0.5114334723763951
266,2.890126903249738,3.9865454455989107,0.43449555117386857
267,3.2271790527171613,3.982221557358852,0.35979159451235615
268,2.8362947788739556,3.91183106048176,0.4754905081473052
269,3.0082374284311713,3.750218117640987,0.41491977905008287
270,3.0067179481111848,3.8191204700831984,0.4463729660347727
271,2.613155492301317,3.8299053329880177,0.4946365029570466
272,2.7082353953848357,3.901807934022278,0.5577446738833834
273,2.9350198497594078,3.8560929338535868,0.4566104124759734
274,2.6850423522096643,3.8558077802129,0.5289356904750544
275,3.073457018915936,3.8362331474927007,0.45447654577787067
276,2.9081920037157776,3.835097954777651,0.3846965387245142
277,2.857268732256715,3.882317970079803,0.41801063456145476
278,3.0346038449003374,3.8352361885606037,0.36877370782809227
279,3.1603739792669883,3.7540916321037137,0.35089571903790573
280,3.237099475161647,4.02095039689739,0.46077703594743596
281,2.905948500420958,3.8681985753134014,0.4156855470370741
282,2.7212206313096443,3.938113291632119,0.49764881094654523
283,2.7151202389006794,4.0023117226166764,0.5025796213976518
284,3.0797787167468074,3.845632609450644,0.4549355756215802
285,2.6915368389267718,3.8443578189138425,0.5156730716498878
286,2.8206021324716417,3.898289760479736,0.4791750534303808
287,2.8090560602922072,3.5778271245867663,0.4747257198888261
288,2.9441961865925883,3.851662202909321,0.5457950253618427
289,3.1449003712404906,3.946345151097324,0.399001164388221
290,2.9886897612407157,3.832263611403791,0.35668115855545585
291,3.1726195483849025,3.8783363237709003,0.37005831147900564
292,2.836790723085671,3.783575481651734,0.44259955138561907
293,2.871905320249374,3.8574693441637162,0.4838245556971676
294,2.9972390895821164,3.785087514020128,0.36997487293227727
295,2.4909374754884777,3.726265899779892,0.5454506338307702
296,2.6741876125694928,3.8384922303035895,0.5360520144889548
297,2.4715326678625416,3.8297379566501593,0.5132821908700136
298,2.878569169926131,3.8415695985234932,0.47799153152389634
299,2.5427914475522737,3.7943187807386414,0.5392002208827495
300,2.7986181491953386,3.750380597622186,0.4949992188306649
301,3.1117728592331804,3.8488501310527203,0.3913140894010759
302,3.181059883755194,3.833589313524887,0.37643862731875255
303,2.483436103607078,3.9341141545209153,0.5395808155950194
304,2.8683110213858063,3.766972389795198,0.48862191850115777
305,3.081583530706497,3.987323299973747,0.3656344928558208
306,3.0857133337452574,3.9429140954561346,0.3719538257087886
307,2.7721599227711433,3.726414883004865,0.48394945552004215
308,2.95235734446135,3.8685442569337187,0.47165953745764433
309,3.2807966583117714,3.9719931776385304,0.4153266000705403
310,2.7823173995289983,3.7591846838282583,0.46207934358651315
311,2.2637328070538887,3.7248741577734545,0.5906133894251306
312,2.5251799491024594,3.8103068175371435,0.5224552761357759
313,3.165962711151086,3.9270184815431195,0.4752474300474103
314,3.2485610497821753,3.998801131504455,0.316187631543016
315,2.8212173197522112,3.7533002845949808,0.39214449085962905
316,2.9250921154343485,3.921810483699928,0.4097042984813517
317,2.6254815273113006,3.8869976622841884,0.4237483904384833
318,2.78141986020875,3.8322541969320643,0.5123168823304666
319,2.9402475441150546,3.9583358525853125,0.5024411676289965
320,2.9557926011403515,3.881671189879955,0.4786760780129103
321,2.775216486124476,3.8776238434145753,0.47858646676012223
322,2.9352866661865127,3.926425218846581,0.40813910773195716
323,3.0182158294380774,3.842587351737323,0.4351920320626975
324,3.125493162085434,3.856574155285996,0.45562266266783613
325,3.0672047560779183,3.793245745640457,0.4228485327129207
326,2.8887142028713098,3.929583073982062,0.42525103086211063
327,2.716657750158741,3.7123663030356604,0.5166688716928213
328,3.4611673650990213,3.9783521120360517,0.31204432821500294
329,2.783832421019262,3.8168344307677295,0.3934364962398298
330,2.987181050566291,4.088563862960147,0.4905545448849359
331,3.099413285128706,3.8558591975866525,0.37352677044671634
332,2.8259827999193576,3.9250381814596897,0.4893149933547978
333,2.681923783569636,4.055987761313703,0.5398928022974572
334,2.9822594326446197,3.8297037005165064,0.40171924746403403
335,2.8515630135782777,3.8691073848444253,0.42887826386652633
336,3.3148013243460186,3.974297250027823,0.3758328526321934
337,3.0631059221290973,3.8729470436872773,0.4669299724211532
338,2.5647089999877157,3.7944965659155043,0.48904175100161107
339,3.073173006139888,3.7459316470904547,0.4261239795429108
340,3.0004385354335272,3.947373831946329,0.44358798441861275
341,3.103454630422877,3.8720201452171064,0.39929422810387244
342,3.1080576305502734,3.900534254869352,0.4339498675462359
343,2.7421400863354366,3.9743843670843573,0.4369570388150792
344,2.9645600517925628,3.7775249073304304,0.3725674602406722
345,2.764978870564983,3.7947180738445536,0.3397842892221333
346,3.2349517580700318,3.8279806454524294,0.3655923078888896
347,2.9835765348955294,3.8745098393206145,0.5336081233470973
348,3.2792102651341346,3.901106550444854,0.4195253299970666
349,3.097298914947651,3.8537214446698362,0.38459555511081117
350,3.162764080251514,3.9103832222986026,0.36328843119225335
351,2.9322759130511367,3.869311010794107,0.4591663744772729
352,3.4306712227944036,3.9465405950805588,0.3564688379489869
353,2.7851626886994283,3.882477792843518,0.4020641740147504
354,2.695773053228069,3.763631878084614,0.5252419957810078
355,2.804873259461885,3.820268928599811,0.5148267870248919
356,2.8314890839514986,3.9237664136356956,0.5509256437964919
357,2.5123273627096325,3.9514802038575687,0.559142621895056
358,3.0798349671259233,3.8362618546983027,0.4202257530714697
359,3.0569989919457816,3.833239152031621,0.42294864499463486
360,2.906911236289878,3.93507260713838,0.4687656232131759
361,2.845729050918897,3.915238930207871,0.49294654439900665
362,2.8807378436276845,3.7280664273140567,0.37648505528859255
363,2.3336873505417017,3.798942593504811,0.49090880536334536
364,2.985647990034951,3.8285226756649586,0.4451335873277776
365,3.180112852420824,3.940920575047205,0.4927823620971303
366,2.8925340918551217,3.7211373073243816,0.3319246274477005
367,2.9755430091289616,3.7751409489272323,0.37773560696228015
368,2.9618978079793403,3.95345762500082,0.46783467993347144
369,2.922233056598622,3.866404459834241,0.45468846683269176
370,3.126003494433807,3.7933755063509795,0.40992840929691354
371,3.1057105529918227,3.899536327165615,0.39811980733657026
372,3.0027865075565523,3.9170237853907475,0.40796802084825295
373,2.1204493950643215,3.838543835764688,0.4855400893384663
374,3.2918987186735205,3.960351660832177,0.3599319046407325
375,2.7434705217481934,3.873922559586838,0.5447753235360415
376,3.0199493391301218,3.880400399551477,0.4890903234838652
377,3.337753913613074,3.93627266017838,0.35700959123971593
378,2.9566815325186733,3.9829456451238694,0.4067009390643081
379,3.147137029173505,3.790114226018788,0.38558924073643946
380,2.70839826109881,3.7649756519802637,0.5063217071031926
381,2.6673561252647167,3.894089765279585,0.5053854168476576
382,3.2441169219930797,3.987138339245799,0.4034141187027598
383,3.393800423116965,4.010689591511104,0.3296721781569492
384,3.0290890274646234,3.8913999124376346,0.35780681436553824
385,3.285620895988781,3.931756167598226,0.3732671923352673
386,3.280899204107329,3.9382818455539894,0.3585101091992722
387,3.063890233209299,3.8379083846531166,0.3862494595997421
388,3.1401284775097897,4.101878300862969,0.3915858106206365
389,2.312967408918962,3.865173142762134,0.5535845112177978
390,3.185332602766342,4.147244016036912,0.484305835982526
391,2.8230758949025097,3.7863506218580274,0.5063547140555712
392,2.841198786488648,3.805522067802181,0.4369944824074824
393,3.0090605991004584,3.8362668635246355,0.3669222372416874
394,3.0368084449651307,3.8247982053764216,0.4221996519717297
395,2.8359145472824854,3.834657404891388,0.4288580971408655
396,2.998557352960553,3.74487137818705,0.41116043416588993
397,3.393935258093995,3.9310946442469703,0.35467533136565393
398,2.903239274124874,3.771924224367079,0.5173955358187691
399,3.0424801912992816,3.873349649276459,0.4681099862041431
400,2.701452911620976,3.8850229759707693,0.4957912359859625
401,3.01262184715616,3.8442710694465223,0.4702264701817873
402,2.4206959908773746,3.7821267617404923,0.511648266958825
403,3.194058340088903,4.064048558848378,0.40595316583222446
404,2.8952915893095184,3.8750672369504353,0.48292754429548346
405,2.465471375470293,3.8098090234280306,0.48311386584599336
406,3.2152173972187748,3.7727776294444864,0.3517687810415273
407,2.887485741183299,3.952147252164556,0.4969282326689342
408,3.181157992460957,3.9944832992576433,0.3879245739882855
409,3.3860819415045715,4.0344421429718915,0.42194119877417524
410,3.0326226888373564,3.864151757263261,0.48706679056235785
411,2.9876254619373666,3.7633032059316913,0.45341818956212204
412,2.306746619648325,3.8578573716898696,0.4867941781283841
413,2.5908945402254617,3.9235368523627803,0.4408663997049887
414,2.7868700608637647,3.85479188947265,0.4709689310440484
415,2.9694729707645195,3.8773210809847067,0.47820604207172457
416,3.007937306343916,3.937608833116234,0.48556818006649755
417,2.8874835638932677,3.7638741590661398,0.5489102231973506
418,2.121955009535993,3.685638099799285,0.4859040144264942
419,3.25248966909762,3.9493614112144737,0.3711216599539478
420,2.945201258830794,3.896767600268903,0.4666114144141043
421,2.9391903329958846,3.858140194095132,0.4195695374208754
422,2.8904427228058234,3.8816175784869835,0.4523283983719346
423,2.971458088356518,3.73179523986517,0.4000196711548569
424,2.9623781215021356,3.849929190377681,0.3399386993818576
425,3.062463235383706,3.9631180185416195,0.4491357501151852
426,3.010648265081688,4.007585181905916,0.4354690382938044
427,3.3623888836675944,4.050582805462109,0.36456101760945087
428,2.593600828972026,3.8452962468266363,0.4993457284824657
429,2.8287572968343215,3.8552549439599413,0.4803208639774524
430,2.9952758612683694,3.8094987490806633,0.40544297770856547
431,3.4801681890041634,4.013851238268009,0.3754253219563364
432,3.083390667297926,3.81234112250463,0.441981492735563
433,3.1640189623686017,3.8889827282724907,0.47157002740352166
434,2.8374407816634286,3.93322260272863,0.46918537917908854
435,3.4194467590413598,3.9582144902126353,0.3317151041773158
436,3.01307358768028,3.787839443953234,0.42574444099715236
437,2.7214640443059737,3.8353124866032644,0.5216954754449359
438,2.4930248991991504,3.7796640221528994,0.5060081365921858
439,3.055407921141381,3.9842840477563404,0.4326889835449237
440,3.040928749785126,3.870452822842731,0.45145970989317796
441,2.919186543262003,3.9334766784710045,0.5122022919517156
442,2.850811941866078,3.8281173662573833,0.5028107803291528
443,2.8546564235244225,3.8245211097147913,0.46381486894478735
444,2.8597179414490927,3.848423311399442,0.42291583390196275
445,2.5214460922715842,3.839438601730977,0.42579510704909057
446,2.980669260367661,3.919264457210616,0.4661036754832567
447,3.0333294871407195,3.942252005196399,0.4058534322655326
448,2.9647563957262095,3.9998103732216803,0.4658924894030721
449,3.0098826646041714,3.908551668921043,0.40128405752315977
450,3.1878020309150625,3.947938739404188,0.33341352343343933
451,2.8995383889153126,3.8060758929448673,0.409769707152746
452,2.8509021919475437,3.785822047381892,0.47440087374161904
453,2.5357471004661347,3.812036366758119,0.46389530637051085
454,2.570609507044374,3.8213020943177365,0.48939653030578534
455,2.7710563692969647,3.8726859578963,0.4772449663894259
456,2.5813771936096517,3.5909914622316825,0.4828589037784324
457,2.8696681239255533,3.854219922468858,0.42457236482865995
